game_id,time_elapsed,win_prob_A,win_prob_B,win_prob_neutral
401856600,0,0.6655472581856745,0.6655472581856745,0.5
401856600,1,0.6655472285067874,0.6655472285067874,0.5
401856600,2,0.6655472087199882,0.6655472087199882,0.5
401856600,3,0.665547194586132,0.665547194586132,0.5
401856600,4,0.6655387490214894,0.6655387490214894,0.5
401856600,5,0.6655555555555556,0.6655555555555556,0.5
401856600,6,0.665572362938458,0.665572362938458,0.5
401856600,7,0.6655891711702612,0.6655891711702612,0.5
401856600,8,0.6656059802510291,0.6656059802510291,0.5
401856600,9,0.6656227901808264,0.6656227901808264,0.5
401856600,10,0.6656396009597171,0.6656396009597171,0.5
401856600,11,0.6656564125877659,0.6656564125877659,0.5
401856600,12,0.6656564125877659,0.6656564125877659,0.5
401856600,13,0.6656564125877659,0.6656564125877659,0.5
401856600,14,0.6656311562357933,0.6656311562357933,0.5
401856600,15,0.6656058998838208,0.6656058998838208,0.5
401856600,16,0.6655806435318483,0.6655806435318483,0.5
401856600,17,0.6655553871798757,0.6655553871798757,0.5
401856600,18,0.6655301308279032,0.6655301308279032,0.5
401856600,19,0.6654879773691655,0.6654879773691655,0.5
401856600,20,0.6654458196514271,0.6654458196514271,0.5
401856600,21,0.6654289178538951,0.6654289178538951,0.5
401856600,22,0.6654119192582675,0.6654119192582675,0.5
401856600,23,0.6654116339010462,0.6654116339010462,0.5
401856600,24,0.6654281670205237,0.6654281670205237,0.5
401856600,25,0.6654362500948094,0.6654362500948094,0.5
401856600,26,0.6654864570951671,0.6654864570951671,0.5
401856600,27,0.6655197712955702,0.6655197712955702,0.5
401856600,28,0.6655276280152884,0.6655276280152884,0.5
401856600,29,0.6655437921077959,0.6655437921077959,0.5
401856600,30,0.6655681184403995,0.6655681184403995,0.5
401856600,31,0.6655754345895191,0.6655754345895191,0.5
401856600,32,0.6655317851516845,0.6655317851516845,0.5
401856600,33,0.665462317439316,0.665462317439316,0.5
401856600,34,0.6654178454010246,0.6654178454010246,0.5
401856600,35,0.6653389505936422,0.6653389505936422,0.5
401856600,36,0.665174460247621,0.665174460247621,0.5
401856600,37,0.6649669451135141,0.6649669451135141,0.5
401856600,38,0.6646814191097191,0.6646814191097191,0.5
401856600,39,0.6645226027221036,0.6645226027221036,0.5
401856600,40,0.664457567240001,0.664457567240001,0.5
401856600,41,0.6643315065660221,0.6643315065660221,0.5
401856600,42,0.6641094754302301,0.6641094754302301,0.5
401856600,43,0.6639461440490734,0.6639461440490734,0.5
401856600,44,0.663728813559322,0.663728813559322,0.5
401856600,45,0.6636232831916286,0.6636232831916286,0.5
401856600,46,0.6632722691722219,0.6632722691722219,0.5
401856600,47,0.6627968198810088,0.6627968198810088,0.5
401856600,48,0.6623277182235835,0.6623277182235835,0.5
401856600,49,0.6621117025502502,0.6621117025502502,0.5
401856600,50,0.6618682106716953,0.6618682106716953,0.5
401856600,51,0.6618532530505675,0.6618532530505675,0.5
401856600,52,0.6618464663744253,0.6618464663744253,0.5
401856600,53,0.6620462223175505,0.6620462223175505,0.5
401856600,54,0.6623624673822398,0.6623624673822398,0.5
401856600,55,0.662834008097166,0.662834008097166,0.5
401856600,56,0.6631273869823127,0.6631273869823127,0.5
401856600,57,0.6633859873304152,0.6633859873304152,0.5
401856600,58,0.6635468114716075,0.6635468114716075,0.5
401856600,59,0.6637003367925304,0.6637003367925304,0.5
401856600,60,0.6637618209808666,0.6637618209808666,0.5
401856600,61,0.663621812562093,0.663621812562093,0.5
401856600,62,0.6633781349591243,0.6633781349591243,0.5
401856600,63,0.6632996632996633,0.6632996632996633,0.5
401856600,64,0.6632952418205694,0.6632952418205694,0.5
401856600,65,0.6632441227627224,0.6632441227627224,0.5
401856600,66,0.6631816260391715,0.6631816260391715,0.5
401856600,67,0.6633276740237691,0.6633276740237691,0.5
401856600,68,0.663607433085185,0.663607433085185,0.5
401856600,69,0.6638696235408282,0.6638696235408282,0.5
401856600,70,0.664066085360257,0.664066085360257,0.5
401856600,71,0.6643124819832805,0.6643124819832805,0.5
401856600,72,0.6644936983920035,0.6644936983920035,0.5
401856600,73,0.6645993477754484,0.6645993477754484,0.5
401856600,74,0.6645788210501669,0.6645788210501669,0.5
401856600,75,0.6644893635801924,0.6644893635801924,0.5
401856600,76,0.664271775767252,0.664271775767252,0.5
401856600,77,0.6639351563195867,0.6639351563195867,0.5
401856600,78,0.6637640533206095,0.6637640533206095,0.5
401856600,79,0.6636115853475903,0.6636115853475903,0.5
401856600,80,0.6634971263503144,0.6634971263503144,0.5
401856600,81,0.6634408927329362,0.6634408927329362,0.5
401856600,82,0.6633205572793088,0.6633205572793088,0.5
401856600,83,0.6633308850532501,0.6633308850532501,0.5
401856600,84,0.6634215471825996,0.6634215471825996,0.5
401856600,85,0.6632140420517273,0.6632140420517273,0.5
401856600,86,0.663086913086913,0.663086913086913,0.5
401856600,87,0.6629156974916703,0.6629156974916703,0.5
401856600,88,0.6626799557032115,0.6626799557032115,0.5
401856600,89,0.6624733271760247,0.6624733271760247,0.5
401856600,90,0.6623913810241446,0.6623913810241446,0.5
401856600,91,0.6622877800012911,0.6622877800012911,0.5
401856600,92,0.6622916734349111,0.6622916734349111,0.5
401856600,93,0.6622854340362923,0.6622854340362923,0.5
401856600,94,0.6622048279944748,0.6622048279944748,0.5
401856600,95,0.6621116368328757,0.6621116368328757,0.5
401856600,96,0.6621747521128635,0.6621747521128635,0.5
401856600,97,0.6618271836215837,0.6618271836215837,0.5
401856600,98,0.6615653694796677,0.6615653694796677,0.5
401856600,99,0.6612881401799607,0.6612881401799607,0.5
401856600,100,0.6610423186828139,0.6610423186828139,0.5
401856600,101,0.6608517188301694,0.6608517188301694,0.5
401856600,102,0.6606123151014792,0.6606123151014792,0.5
401856600,103,0.6604863537306721,0.6604863537306721,0.5
401856600,104,0.6606130188219741,0.6606130188219741,0.5
401856600,105,0.6605087295755921,0.6605087295755921,0.5
401856600,106,0.6604423814045082,0.6604423814045082,0.5
401856600,107,0.6603139806237183,0.6603139806237183,0.5
401856600,108,0.6601969357648146,0.6601969357648146,0.5
401856600,109,0.6600121424234848,0.6600121424234848,0.5
401856600,110,0.6595653109533032,0.6595653109533032,0.5
401856600,111,0.659202995068217,0.659202995068217,0.5
401856600,112,0.6589735254812727,0.6589735254812727,0.5
401856600,113,0.6586205646768873,0.6586205646768873,0.5
401856600,114,0.6583424209378408,0.6583424209378408,0.5
401856600,115,0.6581480131243165,0.6581480131243165,0.5
401856600,116,0.6580284367118682,0.6580284367118682,0.5
401856600,117,0.6579555034270425,0.6579555034270425,0.5
401856600,118,0.6577728776185227,0.6577728776185227,0.5
401856600,119,0.6578792124474596,0.6578792124474596,0.5
401856600,120,0.6581819527174516,0.6581819527174516,0.5
401856600,121,0.6585863835474052,0.6585863835474052,0.5
401856600,122,0.6588283520906313,0.6588283520906313,0.5
401856600,123,0.7110502737680438,0.6105496788817529,0.5502502974431454
401856600,124,0.7115688722430296,0.6098695136417557,0.550849679300637
401856600,125,0.7120003341547972,0.6095514989752633,0.5512244175897669
401856600,126,0.7124371859296482,0.6090722044116943,0.551682490758977
401856600,127,0.7125404089172509,0.6084262106072252,0.5520570991550129
401856600,128,0.7126015746705402,0.6077873202740519,0.5524071271982441
401856600,129,0.7125105663567202,0.6076703307345891,0.5524201178110655
401856600,130,0.712407211028632,0.6076183072587698,0.5523944518849311
401856600,131,0.7127347043045089,0.6072420683269165,0.5527463179887961
401856600,132,0.7127605056371712,0.6069245439874811,0.552917980824845
401856600,133,0.7126747277248949,0.6068661108386464,0.5529043084431242
401856600,134,0.7126693912669392,0.6067493112947658,0.5529600399860867
401856600,135,0.7128499331406635,0.6066495659037096,0.553100183618477
401856600,136,0.7131487889273357,0.6058881741712023,0.5536303073780666
401856600,137,0.713343744577477,0.6053898456499082,0.5539769494637844
401856600,138,0.7132109932162115,0.6049382716049383,0.5541363608056367
401856600,139,0.7134196868594357,0.6041302938095475,0.5546446965249441
401856600,140,0.713698570241791,0.60320080020005,0.5552488850208706
401856600,141,0.7139976327210557,0.602325697960002,0.5558359673805269
401856600,142,0.7139526700096771,0.6016178465557956,0.5561674117269407
401856600,143,0.7139705233430412,0.6011490777139401,0.5564107228145505
401856600,144,0.6653021123301129,0.6653021123301129,0.5
401856600,145,0.6649393378572898,0.6649393378572898,0.5
401856600,146,0.664244126027171,0.664244126027171,0.5
401856600,147,0.6634045200082936,0.6634045200082936,0.5
401856600,148,0.6627248500999334,0.6627248500999334,0.5
401856600,149,0.6622192479819314,0.6622192479819314,0.5
401856600,150,0.6616967660646788,0.6616967660646788,0.5
401856600,151,0.6613059811742856,0.6613059811742856,0.5
401856600,152,0.6607680882664969,0.6607680882664969,0.5
401856600,153,0.6600972613258255,0.6600972613258255,0.5
401856600,154,0.65906362545018,0.65906362545018,0.5
401856600,155,0.6581498556594425,0.6581498556594425,0.5
401856600,156,0.6576623376623376,0.6576623376623376,0.5
401856600,157,0.6571428571428571,0.6571428571428571,0.5
401856600,158,0.6564642186613108,0.6564642186613108,0.5
401856600,159,0.6559394019002583,0.6559394019002583,0.5
401856600,160,0.6558341750472092,0.6558341750472092,0.5
401856600,161,0.6559485530546624,0.6559485530546624,0.5
401856600,162,0.6559890425484911,0.6559890425484911,0.5
401856600,163,0.655800150595739,0.655800150595739,0.5
